pol ,Year ,2020,2025,2030,2035,2040,Actually got
cur ,2009,146,,248,402,,20
cur ,2010,119,,288,352,,32
450,2010,164,,723,1179,,
curr,2011,195,,360,435,,61
450,2011,279,,903,1332,,
cur ,2012,282,,451,524,,97
450,2012,376,,985,1371,,
cur ,2013,352,,571,680,,139
450,2013,422,,1030,1389,,
cur ,2014,408,,630,832,,190
450,2014,459,,1156,1982,,
cur ,2015,446,,739,1066,,247
450,2015,529,,1297,2232,,
cur ,2016,533,,996,1539,,303
450,2016,638,,1794,3209,,
cur ,2017,,1096,1460,2192,,435
450,2017,,1629,2732,5265,,
cur ,2018,,1334,1782,2956,,592
sus ,2018,,1940,3268,6409,,
cur ,2019,    ,,2265,,3658,681
sus ,2019,    ,,3513,,7208,
cur ,2020,,,2764,,5478,824
Sus,2020,,,4315,,8799,
cur ,2021,,,3492,,6700,1023
Sus,2021,,,4190,,9262,
cur ,2022,,,4011,,8356,1293.64
Sus,2022,,,4838,,11767,
cur ,2023,,,5405,,11961,1611.10
Sus,2023,,,6390,8657,15296,
cur ,2024,,,,,,2073.25
cur ,2025,,,,,,2718
