pol,Year,2020,2025,2030,2035,2040,2050,Actually got
cur,2009,146.0,,248.0,402.0,,,20.0
cur,2010,119.0,,288.0,352.0,,,32.0
450,2010,164.0,,723.0,1179.0,,,
cur,2011,195.0,,360.0,435.0,,,61.0
450,2011,279.0,,903.0,1332.0,,,
cur,2012,282.0,,451.0,524.0,,,97.0
450,2012,376.0,,985.0,1371.0,,,
cur,2013,352.0,,571.0,680.0,,,139.0
450,2013,422.0,,1030.0,1389.0,,,
cur,2014,408.0,,630.0,832.0,,,190.0
450,2014,459.0,,1156.0,1982.0,,,
cur,2015,446.0,,739.0,1066.0,,,247.0
450,2015,529.0,,1297.0,2232.0,,,
cur,2016,533.0,,996.0,1539.0,,,303.0
450,2016,638.0,,1794.0,3209.0,,,
cur,2017,,1096.0,1460.0,2192.0,,,435.0
450,2017,,1629.0,2732.0,5265.0,,,
cur,2018,,1334.0,1782.0,2956.0,,,592.0
sus,2018,,1940.0,3268.0,6409.0,,,
cur,2019,,,2265.0,,3658.0,,681.0
sus,2019,,,3513.0,,7208.0,,
cur,2020,,,2764.0,,5478.0,,824.0
sus,2020,,,4315.0,,8799.0,,
cur,2021,,,3492.0,,6700.0,,1023.0
sus,2021,,,4190.0,,9262.0,,
cur,2022,,,4011.0,,8356.0,,1293.64
sus,2022,,,4838.0,,11767.0,,
cur,2023,,,4699.0,7174.0,9500.0,12639.0,1611.1
sus,2023,,,5377.0,8648.0,11787.0,16041.0,
cur,2024,,,5838.0,9203.0,12333.0,16445.0,2073.25
sus,2024,,,6544.0,10793.0,14801.0,20059.0,
cur,2025,,,,9068.0,12033.0,17015.0,2718.0
